-2.500000	0.032323	0.033000
-2.250000	0.058530	0.059748
-2.000000	0.099562	0.101623
-1.750000	0.159100	0.162382
-1.500000	0.238838	0.243753
-1.250000	0.336815	0.343739
-1.000000	0.446208	0.455372
-0.750000	0.555314	0.566711
-0.500000	0.649228	0.662545
-0.250000	0.713038	0.727659
0.000000	0.735672	0.750759
0.250000	0.713038	0.727669
0.500000	0.649228	0.662565
0.750000	0.555314	0.566741
1.000000	0.446208	0.455412
1.250000	0.336815	0.343789
1.500000	0.238838	0.243817
1.750000	0.159100	0.162467
2.000000	0.099562	0.101745
2.250000	0.058530	0.059932
2.500000	0.032323	0.033293
